parcel_ID,weight (kg),volume (m^3)
CL3#1,286.8,0.31
CL3#2,292.9,0.34
CL3#3,170.9,0.351
CL3#4,148.1,0.528
CL3#5,138,0.568
CL3#6,173.3,0.448
CL3#7,203.9,0.552
CL3#8,217.4,1.091
CL3#9,118.7,0.245
CL3#10,164.8,0.525
CL3#11,46.9,0.851
CL3#12,141.7,0.248
CL3#13,230.6,0.414
CL3#14,237.7,0.675
CL3#15,238.6,0.783
CL3#16,228.5,0.737
CL3#17,268.5,0.561
CL3#18,113.4,0.901
CL3#19,133.9,0.96
CL3#20,268.2,0.405
CL3#21,149.2,0.594
CL3#22,226.5,0.466
CL3#23,237.2,0.556
CL3#24,256.8,0.436
CL3#25,238.9,0.595
CL3#26,241.1,0.571
CL3#27,139.7,0.644
CL3#28,192.2,0.85
CL3#29,244.9,0.601
CL3#30,246,0.543
CL3#31,157.1,0.827
CL3#32,229.7,0.542
CL3#33,180,0.946
CL3#34,201.8,0.362
CL3#35,288.8,0.671
CL3#36,220.2,0.399
CL3#37,129.2,0.779
CL3#38,101.1,0.096
CL3#39,158,0.947
CL3#40,181,0.77
CL3#41,149.4,0.601
CL3#42,277,0.987
CL3#43,259.7,0.59
CL3#44,175.1,0.593
CL3#45,63,0.59
CL3#46,321.3,0.604
CL3#47,221.9,0.804
CL3#48,382.9,0.921
CL3#49,-38.7,0.428
CL3#50,170.1,0.419
CL3#51,215.8,0.618
CL3#52,196.7,0.666
CL3#53,71.8,0.47
CL3#54,315.9,0.799
CL3#55,198.1,0.686
CL3#56,193,0.572
CL3#57,246.9,0.955
CL3#58,247.7,0.41
CL3#59,259.4,0.824
CL3#60,230.5,0.839
CL3#61,193.3,0.452
CL3#62,255.1,0.571
CL3#63,131.9,0.39
CL3#64,274.6,0.651
CL3#65,220,0.395
CL3#66,284.3,0.483
CL3#67,137.9,0.127
CL3#68,199.8,0.492
CL3#69,209.2,0.608
CL3#70,183.1,0.738
CL3#71,113.2,0.256
CL3#72,193.7,0.522
CL3#73,223,0.504
CL3#74,268.3,0.789
CL3#75,183.9,0.433
CL3#76,251.6,0.733
CL3#77,111.6,0.291
CL3#78,130.4,0.532
CL3#79,249,0.657
CL3#80,215.6,0.648
CL3#81,225.9,0.59
CL3#82,249.1,0.576
CL3#83,193.3,0.608
CL3#84,149.7,0.774
CL3#85,211,0.522
CL3#86,260.8,0.761
CL3#87,138.4,0.476
CL3#88,251.8,0.788
CL3#89,146.1,0.616
CL3#90,193.4,0.31
CL3#91,181.8,0.281
CL3#92,202.7,0.556
CL3#93,99.9,0.554
CL3#94,177.7,0.632
CL3#95,274.5,0.847
CL3#96,294.1,0.573
CL3#97,291.5,0.609
CL3#98,250.8,0.531
CL3#99,273.3,0.881
CL3#100,182,0.641
CL3#101,235.5,0.65
CL3#102,95.9,0.442
CL3#103,139.1,0.767
CL3#104,218.4,0.821
CL3#105,215.4,0.564
CL3#106,74.4,0.79
CL3#107,312.3,0.798
CL3#108,196.2,0.736
CL3#109,106.7,0.661
CL3#110,196.8,0.532
CL3#111,148.2,0.929
CL3#112,162.6,0.746
CL3#113,253.5,0.352
CL3#114,139,0.635
CL3#115,149.3,0.744
CL3#116,88.6,0.408
CL3#117,132.9,0.588
CL3#118,260,0.738
CL3#119,247.5,0.647
CL3#120,144.3,0.737
CL3#121,131.2,0.766
CL3#122,237.7,0.929
CL3#123,108.6,0.483
CL3#124,154.6,1.042
CL3#125,212.2,0.594
CL3#126,157.9,0.298
CL3#127,256.7,0.498
CL3#128,167.2,0.578
CL3#129,162.8,0.811
CL3#130,144.5,0.963
CL3#131,159.9,0.686
CL3#132,133.6,0.607
CL3#133,221.9,0.643
CL3#134,238,0.436
CL3#135,222.8,1.31
CL3#136,342.7,0.863
