parcel_ID,weight (kg),volume (m^3)
CL1#1,159.5,0.516
CL1#2,151.5,0.459
CL1#3,138.7,0.363
CL1#4,136.7,0.702
CL1#5,177.5,0.458
CL1#6,64.4,0.506
CL1#7,157.5,0.528
CL1#8,197.9,0.516
CL1#9,102.3,0.522
CL1#10,187.8,0.491
CL1#11,196.6,0.441
CL1#12,140.8,0.516
CL1#13,187.1,0.346
CL1#14,251.4,0.356
CL1#15,64.5,0.465
CL1#16,195.2,0.471
CL1#17,229.3,0.468
CL1#18,108.3,0.408
CL1#19,175,0.529
CL1#20,172.5,0.468
CL1#21,196.6,0.425
CL1#22,210.8,0.688
CL1#23,203,0.498
CL1#24,179.6,0.575
CL1#25,213.6,0.451
CL1#26,148.1,0.641
CL1#27,181.6,0.452
CL1#28,127,0.403
CL1#29,125.3,0.61
CL1#30,148,0.67
CL1#31,184.6,0.586
CL1#32,205.9,0.493
CL1#33,136.1,0.79
CL1#34,269.3,0.839
CL1#35,146.3,0.439
CL1#36,202.3,0.536
CL1#37,147,0.552
CL1#38,193.6,0.579
CL1#39,198.8,0.606
CL1#40,123.3,0.402
CL1#41,164.1,0.435
CL1#42,175,0.548
CL1#43,132.3,0.569
CL1#44,227.7,0.684
CL1#45,141.4,0.444
CL1#46,139.8,0.367
CL1#47,171,0.513
CL1#48,126.6,0.474
CL1#49,129.1,0.607
CL1#50,205.3,0.591
CL1#51,253.1,0.473
CL1#52,134.6,0.668
CL1#53,127.3,0.33
CL1#54,129.5,0.302
CL1#55,131.5,0.409
CL1#56,106,0.732
CL1#57,267.4,0.636
CL1#58,155.3,0.406
CL1#59,96.2,0.554
CL1#60,142.5,0.371
CL1#61,219.1,0.638
CL1#62,171.3,0.582
CL1#63,172.3,0.495
CL1#64,108.4,0.595
CL1#65,181.5,0.498
CL1#66,185.1,0.512
CL1#67,124,0.511
CL1#68,135.5,0.611
CL1#69,183.6,0.383
CL1#70,172.3,0.423
CL1#71,137.2,0.597
CL1#72,176,0.542
CL1#73,193.9,0.448
CL1#74,105.7,0.505
CL1#75,156.4,0.512
CL1#76,129.3,0.487
CL1#77,100.2,0.46
CL1#78,122.8,0.484
CL1#79,105.7,0.576
CL1#80,134.3,0.702
CL1#81,119.8,0.508
CL1#82,213.4,0.588
CL1#83,253.2,0.533
CL1#84,236.6,0.608
CL1#85,139.6,0.386
CL1#86,150,0.765
CL1#87,162.8,0.464
CL1#88,219.1,0.431
CL1#89,213.6,0.482
CL1#90,115.4,0.849
CL1#91,143.7,0.518
CL1#92,128.7,0.63
CL1#93,217.8,0.614
CL1#94,80.3,0.375
CL1#95,157.3,0.438
CL1#96,151.3,0.576
CL1#97,156.7,0.573
CL1#98,136.5,0.51
CL1#99,149.2,0.586
CL1#100,148.5,0.564
